Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
File/sheetname:;D:\CPCe Excel Files\POST I 2017\PRE I 2017 PR.xlsx:Data summary;;;;;;
;;;;;;;
TRANSECT NAME;PRE 2017 PR;;;;;;
Old dead coral (ODC);0;0;0;#DIV/0!;#DIV/0!;0;0
Recently dead coral (RDC);0;0;0;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);;;;;;0;0
Coralline algae (CALG);100;100;100;#DIV/0!;#DIV/0!;0;1
DISEASED CORALS (DC);;;;;;0;1
Diseased coral (DCOR);0;0;0;#DIV/0!;#DIV/0!;0;0
SAND, PAVEMENT, RUBBLE (SPR);;;;;;0,69;0,5
Pavement (P);0;0;0;#DIV/0!;#DIV/0!;0;0
Rubble (R);33;33;33;#DIV/0!;#DIV/0!;0,35;0,25
Sand (S);33;33;33;#DIV/0!;#DIV/0!;0,35;0,25
UNKNOWNS (U);;;;;;0;1
Unknown (UNK);0;0;0;#DIV/0!;#DIV/0!;0;0
TAPE, WAND, SHADOW (TWS);;;;;;;
Shadow (SHAD);0;0;0;#DIV/0!;#DIV/0!;;0
Tape (TAPE);0;0;0;#DIV/0!;#DIV/0!;;0
Wand (WAND);0;0;0;#DIV/0!;#DIV/0!;;0
;;;;;;;
NOTES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);3;3;3;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
NOTES (occurring in coral);;;;;;;
Aspergillus (ASP);0;0;0;#DIV/0!;#DIV/0!;;
Black Band Disease (BBD);0;0;0;#DIV/0!;#DIV/0!;;
Bleached coral point (BL);3;3;3;#DIV/0!;#DIV/0!;;
Other disease (OD);0;0;0;#DIV/0!;#DIV/0!;;
Plague, Type II (White Plague, Type II) (PLA);0;0;0;#DIV/0!;#DIV/0!;;
White Band Disease (WBD);0;0;0;#DIV/0!;#DIV/0!;;
Yellow Blotch Disease (YBD);0;0;0;#DIV/0!;#DIV/0!;;
;;;;;;;
Shannon-Weaver Index;1.39;;;;;;
CORAL (C);0.18;;;;;;
GORGONIANS (G);0.25;;;;;;
SPONGES (S);0.3;;;;;;
ZOANTHIDS (Z);0.02;;;;;;
MACROALGAE (MA);0.33;;;;;;
OTHER LIVE (OL);0.03;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0.16;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0.12;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
Simpson Index of Diversity (1-D);0.65;;;;;;
CORAL (C);0;;;;;;
GORGONIANS (G);0.01;;;;;;
SPONGES (S);0.03;;;;;;
ZOANTHIDS (Z);0;;;;;;
MACROALGAE (MA);0.3;;;;;;
OTHER LIVE (OL);0;;;;;;
DEAD CORAL WITH ALGAE (DCA);0;;;;;;
CORALLINE ALGAE (CA);0;;;;;;
DISEASED CORALS (DC);0;;;;;;
SAND, PAVEMENT, RUBBLE (SPR);0;;;;;;
UNKNOWNS (U);0;;;;;;
TAPE, WAND, SHADOW (TWS);;;;;;;
